client_id,active_flag
CL062961,True
CL009320,True
CL740325,False
CL254429,True
CL310150,True
CL873082,True
CL648508,True
CL160667,False
CL191697,True
CL873078,True
CL295939,True
CL929277,True
CL712329,True
CL698338,True
CL962700,False
CL002586,False
CL435820,True
CL029131,True
CL808517,True
CL530052,True
CL746249,True
CL618654,True
CL538952,True
CL288533,True
CL452187,True
CL329491,True
CL780123,True
CL615974,True
CL181306,True
CL987370,True
CL557225,True
CL182357,True
CL283566,True
CL762060,True
CL436803,True
CL991191,True
CL324875,True
CL005281,True
CL800280,True
CL356315,True
CL610942,True
CL528680,True
CL861965,True
CL559712,True
CL575213,True
CL547291,True
CL440255,True
CL008609,True
CL989723,True
CL156266,True
CL060397,True
CL122448,True
CL038847,True
CL612404,True
CL079615,True
CL429591,True
CL898290,True
CL399178,True
CL577439,True
CL584901,True
CL393983,True
CL454410,True
CL039888,True
CL933097,True
CL684548,True
CL292226,False
CL981206,True
CL731667,True
CL407855,True
CL424590,True
CL739699,True
CL606364,True
CL739919,True
CL665779,True
CL192902,True
CL852873,True
CL093510,False
CL452675,False
CL103561,True
CL166239,True
CL610279,True
CL337968,False
CL027084,True
CL640034,True
CL255906,True
CL009308,True
CL436185,True
CL217297,True
CL140878,True
CL882430,True
CL101180,True
CL417883,True
CL915256,True
CL336532,True
CL500675,True
CL584922,True
CL670188,True
CL276017,True
CL598054,True
CL174236,True
CL607190,True
CL472032,True
CL772058,True
CL117702,True
CL167018,True
CL438706,True
CL792558,True
CL971670,True
CL142278,False
CL499067,True
CL996961,True
CL103787,True
CL478432,True
CL320699,True
CL927315,True
CL769940,True
CL879608,True
CL921422,True
CL837042,True
CL752316,True
CL478294,True
CL642502,True
CL227542,True
CL023580,True
CL969788,True
CL225383,True
CL752566,True
CL929835,True
CL469930,True
CL779339,True
CL744215,True
CL352522,True
CL202052,True
CL152016,False
CL399361,True
CL553342,True
CL305653,True
CL741266,True
CL588004,True
CL727173,True
CL773151,False
CL955938,True
CL691037,True
CL026355,True
CL763234,True
CL536283,True
CL001116,True
CL093990,True
CL146108,True
CL898971,False
CL566782,True
CL127556,True
CL798120,True
CL635661,True
CL535990,True
CL762970,True
CL264132,True
CL318561,False
CL224450,True
CL729123,True
CL871790,True
CL882868,True
CL937575,True
CL574762,False
CL914115,True
CL016136,True
CL469720,True
CL130713,True
CL357127,True
CL053395,True
CL148406,True
CL784344,True
CL748302,False
CL546879,False
CL824661,True
CL069906,True
CL457954,True
CL628267,True
CL118652,True
CL971616,True
CL514274,False
CL845902,True
CL795835,True
CL751280,True
CL874640,True
CL608811,True
CL678166,True
CL223995,True
CL711044,True
CL791960,True
CL470651,True
CL240129,True
CL091896,True
CL932756,True
CL726679,True
CL825913,True
CL087898,True
CL818333,True
CL761943,True
CL034017,True
CL948527,True
CL396477,True
CL533352,True
CL880420,True
CL845595,True
CL615853,True
CL157009,True
CL780769,True
CL841565,False
CL454137,True
CL109606,True
CL901009,True
CL934226,True
CL219089,True
CL182863,True
CL204370,True
CL726130,True
CL818390,True
CL637256,True
CL787220,True
CL794515,True
CL580543,True
CL979847,True
CL367491,True
CL395079,True
CL949794,True
CL467063,True
CL393707,True
CL187434,True
CL198658,False
CL522512,True
CL500277,True
CL082128,True
CL128948,False
CL262792,True
CL532435,True
CL302275,True
CL428412,True
CL820334,True
CL143779,True
CL479163,True
CL540287,True
CL216910,True
CL797736,True
CL826661,True
CL738133,True
CL705478,True
CL510505,True
CL351162,True
CL660787,True
CL296357,False
CL070532,True
CL648004,True
CL840194,True
CL339887,True
CL840148,True
CL918704,True
CL021072,True
CL658698,True
CL473183,True
CL505475,True
CL474274,True
CL153776,False
CL907870,True
CL053011,True
CL740373,True
CL343756,True
CL285517,True
CL080583,True
CL739902,True
CL923839,True
CL304398,False
CL355194,True
CL557456,True
CL508642,True
CL436448,True
CL813303,True
CL651213,True
CL164743,True
CL473509,True
CL429712,True
CL965858,True
CL482902,True
CL109174,True
CL232689,True
CL599264,True
CL189511,True
CL625946,True
CL446907,True
CL352673,True
CL519040,True
CL658165,True
CL112869,True
CL510180,True
CL683978,True
CL845470,True
CL619722,True
CL133725,True
CL230058,True
CL410374,True
CL792212,True
CL981159,True
CL171778,True
CL108993,True
CL941989,True
CL983278,True
CL226892,True
CL865882,True
CL853015,True
CL818412,True
CL639226,True
CL863116,True
CL752933,True
CL407458,True
CL728123,True
CL229742,True
CL262180,False
CL584885,True
CL524522,True
CL258219,True
CL807963,True
CL921594,True
CL935874,False
CL676793,True
CL437671,True
CL638460,True
CL316119,False
CL656749,True
CL593626,True
CL293784,True
CL623245,True
CL678209,True
CL021731,True
CL346288,True
CL946131,True
CL604608,True
CL609542,True
CL421829,True
CL595143,True
CL149624,True
CL496896,False
CL306291,True
CL045766,True
CL607840,True
CL262798,True
CL767805,True
CL213502,True
CL965426,True
CL792269,True
CL334297,True
CL152246,True
CL471097,True
CL970102,True
CL836901,False
CL948522,True
CL193260,True
CL829313,True
CL100487,True
CL811839,True
CL700204,True
CL234275,True
CL249506,True
CL529159,True
CL594453,True
CL684979,False
CL873611,True
CL083997,True
CL746352,True
CL385160,True
CL163140,True
CL850096,True
CL016066,True
CL347495,True
CL007206,True
CL109745,True
CL631511,True
CL542097,True
CL099747,True
CL400980,True
CL765135,True
CL521254,True
CL005673,True
CL073520,True
CL421365,True
CL812260,True
CL649760,True
CL770360,True
CL144526,True
CL399516,True
CL554405,True
CL128193,True
CL939390,True
CL835553,True
CL255411,False
CL553142,True
CL262642,True
CL141808,True
CL593634,True
CL803578,True
CL924380,True
CL769083,True
CL766071,True
CL103874,True
CL257067,True
CL418204,True
CL707110,True
CL970211,True
CL751974,True
CL114649,True
CL718843,True
CL930030,True
CL496039,True
CL008205,True
CL195871,True
CL874548,True
CL721105,True
CL135785,True
CL026737,True
CL102992,True
CL023487,True
CL425963,True
CL539144,True
CL585312,True
CL561173,True
CL315482,True
CL631789,True
CL276565,False
CL552936,True
CL874844,True
CL109099,True
CL187312,True
CL421253,True
CL459289,True
CL951324,True
CL345950,False
CL554287,True
CL582115,True
CL161781,True
CL810347,True
CL197822,True
CL722712,False
CL347276,True
CL988369,True
CL347656,True
CL614393,True
CL842477,True
CL178504,True
CL994663,True
CL799441,True
CL168184,True
CL822500,True
CL595764,True
CL220224,True
CL055977,True
CL505923,True
CL767671,True
CL082891,True
CL462827,True
CL331387,True
CL069989,True
CL307784,True
CL412358,True
CL143685,True
CL110236,True
CL020364,True
CL570365,True
CL454426,True
CL118286,True
CL737674,True
CL354081,True
CL839451,True
CL418910,False
CL445532,True
CL461217,True
CL503913,True
CL004705,True
CL325761,True
CL764006,True
CL091351,True
CL170471,True
CL106847,True
CL460263,True
CL979463,True
CL673336,True
CL536716,True
CL512689,False
CL397960,True
CL098261,True
CL524863,True
CL316120,False
CL366432,True
CL149521,True
CL659343,True
CL068152,True
CL112816,True
CL478523,True
CL475111,True
CL714352,True
CL102392,True
CL620960,True
CL361620,True
CL820964,True
CL758130,True
CL970768,True
CL770485,True
CL336979,True
CL918431,True
CL463986,True
CL588988,True
CL696674,False
CL924213,True
CL600646,True
CL182820,True
CL633187,True
CL543266,True
CL790592,True
CL700172,True
CL920111,True
CL923534,True
CL707072,True
CL749483,True
CL269806,True
CL850526,True
CL228185,True
CL793238,True
CL320143,True
CL510473,True
CL899697,True
CL170313,True
CL617299,True
CL688487,True
CL319720,True
CL387201,False
CL882495,True
CL974880,True
CL245101,True
CL235475,True
CL888216,True
CL227611,False
CL264871,True
CL086484,False
CL642823,True
CL251251,True
CL284417,True
CL567688,True
CL771409,True
CL076787,False
CL811743,True
CL208861,True
CL928746,True
CL622306,True
CL250800,True
CL327335,True
CL985425,True
CL438855,True
CL600834,False
CL474837,True
CL624765,True
CL632163,True
CL892961,True
CL086309,True
CL468853,True
CL523466,True
CL978617,True
CL964716,True
CL631340,True
CL526735,True
CL766688,True
CL948909,True
CL498836,True
CL349908,True
CL822811,True
CL540981,True
CL020652,True
CL324446,True
CL502985,True
CL564752,True
CL228227,True
CL184845,False
CL698967,True
CL851488,True
CL802485,True
CL856781,True
CL655315,True
CL868223,True
CL893352,True
CL085026,True
CL406048,True
CL150382,False
CL797547,True
CL017225,False
CL326077,True
CL443315,True
CL925741,True
CL914174,True
CL371088,True
CL098500,True
CL408387,True
CL324629,True
CL545899,True
CL882956,False
CL510216,True
CL992421,True
CL871263,True
CL386314,True
CL259770,True
CL556507,True
CL803118,True
CL132142,True
CL310649,True
CL509339,True
CL601099,True
CL021836,True
CL425073,True
CL438862,True
CL524195,True
CL685273,True
CL656703,False
CL690444,True
CL794578,True
CL729859,True
CL269721,True
CL056653,True
CL088230,True
CL455903,True
CL360077,True
CL619589,True
CL096299,True
CL680423,True
CL552756,True
CL510816,True
CL853539,True
CL662056,True
CL774587,True
CL971242,True
CL972790,True
CL850115,True
CL079560,True
CL656585,True
CL027582,True
CL727640,True
CL755924,True
CL713518,True
CL055897,True
CL511076,True
CL423386,False
CL802096,True
CL282766,True
CL575238,True
CL248292,True
CL715342,True
CL189324,False
CL008440,True
CL436835,False
CL561020,False
CL655008,True
CL511618,True
CL656067,True
CL236650,True
CL785161,True
CL021812,True
CL032874,False
CL928598,True
CL720351,False
CL238309,True
CL426643,True
CL687102,True
CL614251,True
CL721437,True
CL881131,True
CL346581,True
CL360546,True
CL732630,True
CL484620,True
CL518605,True
CL139704,True
CL107254,True
CL052142,True
CL027967,True
CL163277,True
CL546372,True
CL688792,True
CL485146,True
CL111562,True
CL487322,True
CL416450,True
CL813001,True
CL686312,True
CL422018,True
CL122018,True
CL135031,True
CL283914,True
CL189146,True
CL203086,True
CL219500,True
CL398501,True
CL051706,True
CL646671,False
CL463945,True
CL777444,True
CL899385,True
CL435853,True
CL453662,True
CL405704,True
CL029514,True
CL437820,True
CL771579,False
CL736474,True
CL842635,True
CL488111,True
CL975492,False
CL234839,True
CL462664,True
CL615322,True
CL198616,True
CL111572,True
CL788067,True
CL664021,True
CL211298,True
CL765599,True
CL404029,True
CL963123,True
CL435714,True
CL560674,True
CL481593,True
CL638180,True
CL307922,True
CL126207,True
CL490779,False
CL645388,False
CL490940,True
CL476582,True
CL076820,True
CL058084,True
CL169767,True
CL510969,False
CL518954,True
CL429987,True
CL862124,True
CL986525,True
CL807867,True
CL329860,True
CL995213,True
CL569675,True
CL676034,True
CL384552,True
CL979646,True
CL476049,True
CL042594,True
CL197430,True
CL793079,True
CL057063,True
CL812212,True
CL795897,True
CL712232,True
CL384013,True
CL383801,True
CL572272,True
CL272217,True
CL556282,True
CL502901,False
CL815034,True
CL756745,True
CL454634,True
CL881598,True
CL750218,True
CL319178,True
CL376240,True
CL824966,True
CL170137,True
CL484549,True
CL719200,True
CL968619,True
CL421753,True
CL987431,True
CL940340,True
CL370176,True
CL964082,True
CL755538,True
CL602252,True
CL583858,True
CL432903,True
CL399277,True
CL820090,True
CL131792,True
CL927797,False
CL329483,True
CL001770,True
CL187963,True
CL823953,True
CL020383,True
CL560612,True
CL753029,True
CL049008,True
CL057652,False
CL322381,False
CL823484,False
CL504052,False
CL805995,False
CL341217,True
CL487952,True
CL371373,True
CL457682,True
CL469494,False
CL230821,True
CL646572,True
CL554572,True
CL328866,True
CL602615,False
CL854395,True
CL047452,False
CL238294,True
CL574079,True
CL939846,True
CL530527,True
CL783648,True
CL200913,False
CL909971,True
CL826004,True
CL600825,True
CL124651,True
CL267240,True
CL647629,True
CL560927,True
CL795044,True
CL868239,True
CL711734,True
CL437802,True
CL104681,True
CL541816,True
CL164364,True
CL382690,True
CL968087,True
CL890564,True
CL984363,True
